#,Name,Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,157,696,62,133,131,16,0.159,0.251,0.375,0.34,0.311,0.425,0.686,0.458,207,2.1,86.1,1.1,11.5
2,Manny Machado,SDP,150,644,32,100,102,9,0.098,0.207,0.234,0.337,0.298,0.366,0.531,0.382,152,3,41.9,6.9,7.4
3,Nolan Arenado,STL,148,620,30,73,103,5,0.084,0.116,0.241,0.29,0.293,0.358,0.533,0.381,151,-1.6,35.3,13.3,7.3
4,Paul Goldschmidt,STL,151,651,35,106,115,7,0.121,0.217,0.26,0.368,0.317,0.404,0.578,0.419,177,3,61.6,-15.8,7.1
5,Freddie Freeman,LAD,159,708,21,117,100,13,0.119,0.144,0.186,0.359,0.325,0.407,0.511,0.393,157,5.4,52.6,-9.2,7.1
6,Francisco Lindor,NYM,161,706,26,98,107,16,0.084,0.188,0.179,0.301,0.27,0.339,0.449,0.342,127,3.3,25.4,15.2,6.8
7,Yordan Alvarez,HOU,135,561,37,95,97,1,0.139,0.189,0.306,0.32,0.306,0.406,0.613,0.427,185,-0.6,52.8,-6.7,6.7
8,Jose Altuve,HOU,141,604,28,103,57,18,0.109,0.144,0.233,0.315,0.3,0.387,0.533,0.397,164,-1.5,41.8,1.6,6.6
9,Mookie Betts,LAD,142,639,35,117,82,12,0.086,0.163,0.264,0.272,0.269,0.34,0.533,0.373,144,4.3,37.2,3.5,6.5
10,J.T. Realmuto,PHI,139,562,22,75,84,21,0.073,0.212,0.202,0.318,0.276,0.342,0.478,0.354,128,6.6,24.9,18,6.5
11,Dansby Swanson,ATL,162,696,25,99,96,18,0.07,0.261,0.17,0.348,0.277,0.329,0.447,0.337,116,3.1,15.7,21.5,6.4
12,Trea Turner,LAD,160,708,21,101,100,27,0.064,0.185,0.169,0.342,0.298,0.343,0.466,0.35,128,6.5,29.5,7.1,6.3
13,Jose Ramirez,CLE,157,685,29,90,126,20,0.101,0.12,0.235,0.279,0.28,0.355,0.514,0.363,139,6,36,1.1,6.2
14,Andres Gimenez,CLE,146,557,17,66,69,20,0.061,0.201,0.169,0.353,0.297,0.371,0.466,0.364,140,3.4,28.3,12,6.1
15,Xander Bogaerts,BOS,150,631,15,84,73,8,0.09,0.187,0.149,0.362,0.307,0.377,0.456,0.363,134,4.7,28.6,9.1,6.1
16,Mike Trout,LAA,119,499,40,85,80,1,0.108,0.279,0.347,0.323,0.283,0.369,0.63,0.418,176,-0.3,42.4,-0.6,6.1
17,Jeff McNeil,NYM,148,589,9,73,62,4,0.068,0.104,0.128,0.353,0.326,0.382,0.454,0.365,143,2,31.3,4.5,5.8
18,Tommy Edman,STL,153,630,13,95,57,32,0.073,0.176,0.135,0.308,0.265,0.324,0.4,0.318,108,8.4,14.2,18.6,5.7
19,Austin Riley,ATL,159,693,38,90,93,2,0.082,0.242,0.255,0.315,0.273,0.349,0.528,0.377,142,-1.7,32.5,-3,5.5
20,Alex Bregman,HOU,155,656,23,93,93,1,0.133,0.117,0.195,0.26,0.259,0.366,0.454,0.358,136,-3,23.6,7.6,5.5
21,Julio Rodriguez,SEA,132,560,28,84,75,25,0.071,0.259,0.225,0.345,0.284,0.345,0.509,0.366,146,4.3,33.4,0.4,5.4
22,Brandon Nimmo,NYM,151,673,16,102,64,3,0.105,0.172,0.159,0.317,0.274,0.367,0.433,0.353,134,-0.3,26.6,1.5,5.3
23,Adley Rutschman,BAL,113,470,13,70,42,4,0.138,0.183,0.191,0.291,0.254,0.362,0.445,0.354,133,5,22.4,13.1,5.3
24,Sean Murphy,OAK,148,612,18,67,66,1,0.092,0.203,0.177,0.29,0.25,0.332,0.426,0.331,122,-1.4,13.8,15,5.1
25,Rafael Devers,BOS,141,614,27,84,88,3,0.081,0.186,0.225,0.329,0.295,0.358,0.521,0.373,140,-1.2,26.8,-0.1,4.9
26,Michael Harris II,ATL,114,441,19,75,64,20,0.048,0.243,0.217,0.361,0.297,0.339,0.514,0.368,136,5.9,24.4,6.6,4.8
27,Kyle Tucker,HOU,150,609,30,71,107,25,0.097,0.156,0.221,0.261,0.257,0.33,0.478,0.348,129,4,23.9,2.6,4.8
28,Daulton Varsho,ARI,151,592,27,79,74,16,0.078,0.245,0.207,0.269,0.235,0.302,0.443,0.323,106,3.4,7.7,17,4.7
29,Willy Adames,MIL,139,617,31,83,98,8,0.079,0.269,0.22,0.278,0.238,0.298,0.458,0.325,109,2.4,8.8,14.7,4.6
30,Corey Seager,TEX,151,663,33,91,83,3,0.087,0.155,0.211,0.242,0.245,0.317,0.455,0.331,117,2.6,15.1,6.9,4.5
31,Bo Bichette,TOR,159,697,24,91,93,13,0.059,0.222,0.179,0.347,0.29,0.333,0.469,0.347,129,-2.7,20,0.3,4.5
32,Steven Kwan,CLE,147,638,6,89,52,19,0.097,0.094,0.101,0.323,0.298,0.373,0.4,0.341,124,4.9,22,-0.8,4.4
33,Carlos Correa,MIN,136,590,22,70,64,0,0.103,0.205,0.176,0.339,0.291,0.366,0.467,0.362,140,-6,20.7,2,4.4
34,George Springer,TOR,133,583,25,89,76,14,0.093,0.172,0.205,0.285,0.267,0.342,0.472,0.352,132,4.6,25.7,-4.1,4.2
35,Marcus Semien,TEX,161,724,26,101,83,25,0.073,0.166,0.181,0.263,0.248,0.304,0.429,0.317,107,7,12.5,4.3,4.2
36,Cal Raleigh,SEA,119,415,27,46,63,1,0.092,0.294,0.278,0.226,0.211,0.284,0.489,0.33,121,-1,8.6,18,4.2
37,Matt Chapman,TOR,155,621,27,83,76,2,0.11,0.274,0.204,0.277,0.229,0.324,0.433,0.331,117,3.1,15,4.6,4.1
38,Jake Cronenworth,SDP,158,684,17,88,88,3,0.102,0.192,0.152,0.275,0.239,0.332,0.39,0.318,109,6.8,13.7,2.2,4.1
39,Eugenio Suarez,SEA,150,629,31,76,87,0,0.116,0.312,0.223,0.302,0.236,0.332,0.459,0.344,131,-2.5,19.2,-0.3,4.1
40,Christian Walker,ARI,160,667,36,84,94,2,0.103,0.196,0.235,0.248,0.242,0.327,0.477,0.346,122,-0.3,16.9,-0.4,4.1
41,Byron Buxton,MIN,92,382,28,61,51,6,0.089,0.304,0.303,0.244,0.224,0.306,0.526,0.356,136,4.3,19.6,6.3,4
42,Pete Alonso,NYM,160,685,40,95,131,5,0.098,0.187,0.246,0.279,0.271,0.352,0.518,0.366,143,-2.5,32,-17.1,4
43,Nico Hoerner,CHC,135,517,10,60,55,20,0.054,0.11,0.129,0.3,0.281,0.327,0.41,0.32,106,2.3,6,14.3,4
44,Will Smith,LAD,137,578,24,68,87,1,0.097,0.166,0.205,0.276,0.26,0.343,0.465,0.349,127,-3.6,14.8,3,3.9
45,Travis d'Arnaud,ATL,107,426,18,61,60,0,0.045,0.211,0.205,0.306,0.268,0.319,0.472,0.343,120,-3.6,6.1,16.8,3.9
46,Jose Abreu,CHW,157,679,15,85,75,0,0.091,0.162,0.141,0.35,0.304,0.378,0.446,0.361,137,-1.7,26.9,-11.6,3.9
47,Taylor Ward,LAA,135,564,23,73,65,5,0.106,0.213,0.192,0.325,0.281,0.36,0.473,0.362,137,0.7,23.9,-5.1,3.9
48,Shohei Ohtani,LAA,157,666,34,90,95,11,0.108,0.242,0.246,0.32,0.273,0.356,0.519,0.37,142,0.3,31.8,-16.4,3.8
49,Alejandro Kirk,TOR,139,541,14,59,63,0,0.116,0.107,0.13,0.299,0.285,0.372,0.415,0.347,129,-7.1,10.4,8.8,3.8
50,Adolis Garcia,TEX,156,657,27,88,101,25,0.061,0.279,0.207,0.309,0.25,0.3,0.456,0.324,112,6,14.8,0.6,3.8
51,Juan Soto,---,153,664,27,93,62,6,0.203,0.145,0.21,0.249,0.242,0.401,0.452,0.376,145,-2.4,32,-18.3,3.8
52,Yandy Diaz,TBR,137,558,9,71,57,3,0.14,0.108,0.127,0.323,0.296,0.401,0.423,0.366,146,-5.3,23.8,-5.7,3.8
53,Jose Trevino,NYY,115,353,11,39,43,2,0.042,0.176,0.14,0.274,0.248,0.283,0.388,0.293,91,-1.2,-4.9,29,3.7
54,Ha-seong Kim,SDP,150,582,11,58,59,12,0.088,0.172,0.132,0.29,0.251,0.325,0.383,0.313,105,1.9,5.4,10,3.7
55,Ian Happ,CHC,158,641,17,72,72,9,0.09,0.232,0.169,0.336,0.271,0.342,0.44,0.339,120,0.7,15.2,-2.9,3.6
56,Elvis Andrus,---,149,577,17,66,58,18,0.068,0.159,0.155,0.272,0.249,0.303,0.404,0.31,105,6,9.3,6.1,3.5
57,Cedric Mullins II,BAL,156,672,16,89,64,34,0.07,0.188,0.145,0.299,0.258,0.318,0.403,0.315,106,3.3,7.6,4,3.5
58,Jeremy Pena,HOU,136,558,22,72,63,11,0.039,0.242,0.173,0.298,0.253,0.289,0.426,0.309,102,3.7,4.8,10,3.4
59,Willson Contreras,CHC,113,487,22,65,55,4,0.092,0.211,0.224,0.27,0.243,0.349,0.466,0.357,132,-2.8,15.1,-0.4,3.3
60,Luis Arraez,MIN,144,603,8,88,49,4,0.083,0.071,0.104,0.331,0.316,0.375,0.42,0.35,131,-0.2,20.9,-10.1,3.2
61,Matt Olson,ATL,162,699,34,86,103,0,0.107,0.243,0.237,0.274,0.24,0.325,0.477,0.344,120,-0.8,15.4,-9.3,3.1
62,Ryan McMahon,COL,153,597,20,67,67,7,0.101,0.265,0.168,0.311,0.246,0.327,0.414,0.326,95,2.1,-1.3,10.1,3
63,Ke'Bryan Hayes,PIT,136,560,7,55,41,20,0.086,0.218,0.101,0.307,0.244,0.314,0.345,0.294,88,0.9,-6.8,16.8,3
64,Nathaniel Lowe,TEX,157,645,27,74,76,2,0.074,0.228,0.191,0.363,0.302,0.358,0.492,0.368,143,-3.9,27.2,-19,3
65,Starling Marte,NYM,118,505,16,76,63,18,0.051,0.192,0.176,0.34,0.292,0.347,0.468,0.355,136,-0.2,20.8,-9.4,3
66,Gavin Lux,LAD,129,471,6,66,42,7,0.1,0.202,0.124,0.341,0.276,0.346,0.399,0.328,113,3.2,10.5,1.8,3
67,Brandon Drury,---,138,568,28,87,87,2,0.067,0.222,0.23,0.293,0.263,0.32,0.492,0.35,123,-3.6,11.4,-2.4,3
68,DJ LeMahieu,NYY,125,541,12,74,46,4,0.124,0.131,0.116,0.285,0.261,0.357,0.377,0.329,116,-4,6,4.9,3
69,Bryan Reynolds,PIT,145,614,27,74,62,7,0.091,0.23,0.199,0.306,0.262,0.345,0.461,0.349,125,-2.1,16,-9.6,2.8
70,Jonah Heim,TEX,127,450,16,51,48,2,0.091,0.193,0.172,0.249,0.227,0.298,0.399,0.306,99,-1.8,-2.5,15.1,2.8
71,Andrew Benintendi,---,126,521,5,54,51,8,0.1,0.148,0.095,0.352,0.304,0.373,0.399,0.342,122,0.6,13.5,-3.3,2.8
72,Gleyber Torres,NYY,140,572,24,73,76,10,0.068,0.226,0.194,0.295,0.257,0.31,0.451,0.328,115,-0.2,9.8,-1.5,2.8
73,Randy Arozarena,TBR,153,645,20,72,89,32,0.071,0.242,0.183,0.325,0.263,0.327,0.445,0.336,125,-4.3,13.8,-7.9,2.8
74,Mark Canha,NYM,140,542,13,71,61,3,0.089,0.179,0.136,0.309,0.266,0.367,0.403,0.343,128,-1,16.7,-8.6,2.8
75,Vladimir Guerrero Jr.,TOR,160,706,32,90,97,8,0.082,0.164,0.205,0.289,0.274,0.339,0.48,0.351,132,-6,19.2,-15.4,2.8
76,Jorge Mateo,BAL,150,533,13,63,50,35,0.051,0.276,0.158,0.286,0.221,0.267,0.379,0.281,82,5.8,-5.2,14.3,2.7
77,Thairo Estrada,SFG,140,541,14,71,62,21,0.061,0.165,0.139,0.29,0.26,0.322,0.4,0.317,106,2.4,6.2,1.6,2.7
78,Brendan Donovan,STL,126,468,5,64,45,2,0.128,0.15,0.097,0.33,0.281,0.394,0.379,0.349,129,-1.9,14,-3.8,2.7
79,Lars Nootbaar,STL,108,347,14,53,40,4,0.147,0.205,0.221,0.248,0.228,0.34,0.448,0.342,125,1.4,11.3,2.6,2.7
80,Josh Rojas,ARI,125,510,9,66,56,23,0.108,0.192,0.122,0.323,0.269,0.349,0.391,0.326,108,6.2,11.2,-2.9,2.7
81,Kyle Schwarber,PHI,155,669,46,100,94,10,0.129,0.299,0.286,0.24,0.218,0.323,0.504,0.355,128,-0.8,21.2,-18.9,2.6
82,Ramon Urias,BAL,118,445,16,50,51,1,0.067,0.22,0.166,0.287,0.248,0.305,0.414,0.313,104,0,2.1,8.6,2.6
83,Danny Jansen,TOR,72,248,15,34,44,1,0.101,0.177,0.256,0.255,0.26,0.339,0.516,0.364,140,0.8,12,4.8,2.6
84,Jazz Chisholm Jr.,MIA,60,241,14,39,45,12,0.087,0.274,0.282,0.294,0.254,0.325,0.535,0.365,139,3.1,14.1,2.3,2.6
85,Dylan Carlson,STL,128,488,8,56,42,5,0.092,0.193,0.144,0.281,0.236,0.316,0.38,0.306,100,3.8,4,4,2.6
86,Hunter Renfroe,MIL,125,522,29,62,72,1,0.075,0.232,0.236,0.281,0.255,0.315,0.492,0.347,124,-1.6,12.9,-6.2,2.5
87,Trayce Thompson,---,80,255,13,36,41,4,0.125,0.365,0.251,0.374,0.256,0.353,0.507,0.37,142,3.2,15.8,-0.3,2.5
88,Anthony Santander,BAL,152,647,33,78,89,0,0.085,0.189,0.214,0.248,0.24,0.318,0.455,0.336,120,0.3,14.9,-11.9,2.5
89,Jurickson Profar,SDP,152,658,15,82,58,5,0.111,0.157,0.148,0.272,0.243,0.331,0.391,0.32,110,-1.4,6.3,-4.9,2.5
90,Teoscar Hernandez,TOR,131,535,25,71,77,6,0.064,0.284,0.224,0.335,0.267,0.316,0.491,0.348,129,-2.5,15,-8.4,2.5
91,Amed Rosario,CLE,153,670,11,86,71,18,0.037,0.166,0.121,0.326,0.283,0.312,0.403,0.311,103,1.5,3.4,-1.2,2.5
92,William Contreras,ATL,97,376,20,51,45,2,0.104,0.277,0.228,0.344,0.278,0.354,0.506,0.37,138,-2.6,14,-3.4,2.4
93,Kolten Wong,MIL,134,497,15,65,47,17,0.093,0.177,0.179,0.28,0.251,0.339,0.43,0.336,117,3.4,12.9,-6.5,2.4
94,Isaac Paredes,TBR,111,381,20,48,45,0,0.115,0.176,0.23,0.195,0.205,0.304,0.435,0.323,116,-0.7,6.2,4.7,2.4
95,Anthony Rizzo,NYY,130,548,32,77,75,6,0.106,0.184,0.256,0.216,0.224,0.338,0.48,0.352,132,-3.6,16.4,-10.9,2.4
96,Justin Turner,LAD,128,532,13,61,81,3,0.094,0.167,0.16,0.313,0.278,0.35,0.438,0.343,123,-3.1,11.4,-6.4,2.4
97,Trevor Story,BOS,94,396,16,53,66,13,0.081,0.308,0.196,0.309,0.238,0.303,0.434,0.316,100,2.9,3.1,7.1,2.4
98,Max Muncy,LAD,136,565,21,69,69,2,0.159,0.25,0.188,0.227,0.196,0.329,0.384,0.318,106,2.1,6.3,-2.7,2.4
99,Ty France,SEA,140,613,20,65,83,0,0.057,0.153,0.162,0.296,0.274,0.338,0.436,0.337,126,-2.8,14.9,-11.8,2.4
100,Gio Urshela,MIN,144,551,13,61,64,1,0.074,0.174,0.144,0.326,0.285,0.338,0.429,0.332,119,-6.2,5.6,-0.6,2.4
101,Bryce Harper,PHI,99,426,18,63,65,11,0.108,0.204,0.227,0.324,0.286,0.364,0.514,0.369,138,-0.9,18.1,-9.9,2.4
102,Wander Franco,TBR,83,344,6,46,33,8,0.076,0.096,0.14,0.29,0.277,0.328,0.417,0.323,116,4,10.3,1.2,2.4
103,Bobby Witt Jr.,KCR,150,632,20,82,80,30,0.047,0.214,0.174,0.295,0.254,0.294,0.428,0.311,99,6.8,6.3,-4.2,2.3
104,Eduardo Escobar,NYM,136,542,20,58,69,0,0.074,0.238,0.19,0.281,0.24,0.295,0.43,0.311,106,3.1,6.9,-3,2.3
105,Jon Berti,MIA,102,404,4,47,28,41,0.104,0.22,0.098,0.308,0.24,0.324,0.338,0.298,93,8,4.9,3.6,2.3
106,Jake McCarthy,ARI,99,354,8,53,43,23,0.065,0.215,0.143,0.349,0.283,0.342,0.427,0.337,116,7.7,14.3,-4.1,2.3
107,Santiago Espinal,TOR,135,491,7,51,51,6,0.073,0.138,0.102,0.3,0.267,0.322,0.37,0.305,99,-1.5,-1.9,8.2,2.3
108,Matt Carpenter,NYY,47,154,15,28,37,0,0.123,0.227,0.422,0.304,0.305,0.412,0.727,0.472,217,-0.9,19.4,-2.6,2.3
109,Luis Urias,MIL,119,472,16,54,47,1,0.106,0.21,0.165,0.274,0.239,0.335,0.404,0.327,110,0.2,5.8,0,2.3
110,Christian Yelich,MIL,154,671,14,99,57,19,0.131,0.241,0.13,0.327,0.252,0.355,0.383,0.328,111,3.4,11.9,-13.1,2.2
111,Rhys Hoskins,PHI,156,672,30,81,79,2,0.107,0.251,0.216,0.292,0.246,0.332,0.462,0.345,122,-3.4,13.7,-15,2.2
112,Ronald Acuna Jr.,ATL,119,533,15,71,50,29,0.099,0.236,0.148,0.331,0.266,0.351,0.413,0.335,114,4.8,13.6,-11.1,2.1
113,Mike Yastrzemski,SFG,148,558,17,73,57,5,0.109,0.253,0.177,0.261,0.214,0.305,0.392,0.307,99,2.6,1.8,-0.2,2.1
114,Luis Robert,CHW,98,401,12,54,56,11,0.042,0.192,0.142,0.329,0.284,0.319,0.426,0.324,111,4.4,9.5,-1.9,2.1
115,Jace Peterson,MIL,113,328,8,44,34,12,0.101,0.259,0.146,0.303,0.236,0.316,0.382,0.306,96,5.2,3.7,5.6,2.1
116,Trent Grisham,SDP,152,524,17,58,53,7,0.109,0.286,0.157,0.231,0.184,0.284,0.341,0.28,83,5.8,-4.7,7.3,2.1
117,Dylan Moore,SEA,104,255,6,41,24,21,0.133,0.294,0.161,0.32,0.224,0.368,0.385,0.338,126,2.5,10,2.1,2.1
118,Tyrone Taylor,MIL,120,405,17,49,51,3,0.054,0.252,0.209,0.272,0.233,0.286,0.442,0.314,102,1.2,2.1,4.5,2.1
119,Austin Slater,SFG,125,325,7,49,34,12,0.123,0.274,0.144,0.361,0.264,0.366,0.408,0.344,124,3.5,12.7,-3.6,2.1
120,Seiya Suzuki,CHC,111,446,14,54,46,9,0.094,0.247,0.171,0.326,0.262,0.336,0.433,0.334,116,-0.4,7.9,-3,2.1
121,Brandon Crawford,SFG,118,458,9,50,52,1,0.085,0.214,0.113,0.28,0.231,0.308,0.344,0.289,87,1.8,-5.3,9.6,2.1
122,Joc Pederson,SFG,134,433,23,57,70,3,0.097,0.231,0.247,0.31,0.274,0.353,0.521,0.373,144,0.4,22.6,-17.8,2
123,J.P. Crawford,SEA,145,603,6,57,42,3,0.113,0.133,0.093,0.275,0.243,0.339,0.336,0.306,104,-1,1.4,-1.4,2
124,Tim Anderson,CHW,79,351,6,50,25,13,0.04,0.157,0.093,0.347,0.301,0.339,0.395,0.323,110,2.8,6.8,1.1,2
125,Max Kepler,MIN,115,446,9,54,43,3,0.11,0.148,0.121,0.249,0.227,0.318,0.348,0.298,95,0.8,-1.8,6.6,2
126,Chas McCormick,HOU,119,407,14,47,44,4,0.113,0.26,0.162,0.308,0.245,0.332,0.407,0.326,114,-1.1,5.2,0.8,2
127,Javier Baez,DET,144,590,17,64,67,9,0.044,0.249,0.155,0.292,0.238,0.278,0.393,0.291,90,2.5,-4.3,4.2,2
128,Myles Straw,CLE,152,596,0,72,32,21,0.091,0.146,0.052,0.261,0.221,0.291,0.273,0.257,64,7.6,-16.4,15.8,1.9
129,Josh Bell,---,156,647,17,78,71,0,0.125,0.158,0.156,0.296,0.266,0.362,0.422,0.344,123,-5.6,11.3,-14.9,1.9
130,Jose Siri,---,104,325,7,53,24,14,0.062,0.332,0.126,0.305,0.213,0.268,0.339,0.268,75,5.6,-3.4,11.2,1.9
131,Chris Taylor,LAD,118,454,10,45,43,10,0.097,0.352,0.152,0.336,0.221,0.304,0.373,0.298,93,3.4,-0.4,3.2,1.9
132,Seby Zavala,CHW,61,205,2,22,21,0,0.093,0.312,0.112,0.404,0.27,0.347,0.382,0.323,111,-0.7,1.7,9.5,1.9
133,Christian Bethancourt,---,101,333,11,39,34,5,0.036,0.24,0.157,0.304,0.252,0.283,0.409,0.301,101,-1,-0.8,7.9,1.9
134,Jorge Polanco,MIN,104,445,16,54,56,3,0.144,0.213,0.171,0.269,0.235,0.346,0.405,0.333,119,0.9,10.5,-7.3,1.8
135,Albert Pujols,STL,109,351,24,42,68,1,0.08,0.157,0.28,0.252,0.27,0.345,0.55,0.38,151,-6.6,14,-8.6,1.8
136,Seth Brown,OAK,150,555,25,55,73,11,0.092,0.263,0.214,0.273,0.23,0.305,0.444,0.323,117,2.4,12.7,-13.2,1.8
137,Cody Bellinger,LAD,144,550,19,70,68,14,0.069,0.273,0.179,0.255,0.21,0.265,0.389,0.284,83,4.5,-6.2,4.6,1.8
138,Eloy Jimenez,CHW,84,327,16,40,54,0,0.086,0.22,0.205,0.337,0.295,0.358,0.5,0.37,144,-1.4,14.7,-8.5,1.7
139,Jack Suwinski,PIT,106,372,19,45,38,4,0.11,0.306,0.209,0.242,0.202,0.298,0.411,0.311,100,0.6,0.4,3.6,1.7
140,Jean Segura,PHI,98,387,10,45,33,13,0.065,0.15,0.11,0.307,0.277,0.336,0.387,0.32,105,-1.6,0.4,3.1,1.7
141,Keibert Ruiz,WSN,112,433,7,33,36,6,0.069,0.115,0.109,0.271,0.251,0.313,0.36,0.299,90,-0.2,-5.2,7,1.7
142,Brendan Rodgers,COL,137,581,13,72,63,0,0.079,0.174,0.142,0.304,0.266,0.325,0.408,0.321,92,-1.7,-7.2,3.5,1.7
143,David Peralta,---,134,490,12,39,59,1,0.084,0.233,0.164,0.307,0.251,0.316,0.415,0.315,104,0.1,2.4,-2.7,1.7
144,Josh Naylor,CLE,122,498,20,47,79,6,0.076,0.161,0.196,0.268,0.256,0.319,0.452,0.331,117,-3.6,5.8,-5.7,1.7
145,Brandon Marsh,---,134,461,11,49,52,10,0.061,0.343,0.139,0.36,0.245,0.295,0.384,0.296,89,2.5,-2.9,3.8,1.7
146,Kyle Higashioka,NYY,83,248,10,27,31,0,0.048,0.21,0.162,0.246,0.227,0.264,0.389,0.282,83,-0.1,-4.8,12.6,1.7
147,Luis Rengifo,LAA,127,511,17,45,52,6,0.033,0.155,0.166,0.285,0.264,0.294,0.429,0.314,103,1.4,2.8,-3.5,1.6
148,Reese McGuire,---,89,274,3,25,22,1,0.044,0.204,0.1,0.332,0.269,0.307,0.369,0.297,90,-1.9,-5.1,11.9,1.6
149,Christian Vazquez,---,119,426,9,41,52,1,0.052,0.162,0.126,0.31,0.274,0.315,0.399,0.312,99,-9.9,-10.2,12.1,1.6
150,Josh Donaldson,NYY,132,546,15,59,62,2,0.099,0.271,0.153,0.283,0.222,0.308,0.374,0.302,97,-4.5,-6.6,4.6,1.6
151,Ryan Mountcastle,BAL,145,609,22,62,85,4,0.071,0.253,0.173,0.303,0.25,0.305,0.423,0.316,106,0.7,5,-9.3,1.6
152,Christopher Morel,CHC,113,425,16,55,47,10,0.089,0.322,0.198,0.32,0.235,0.308,0.433,0.322,108,1.9,5.9,-5.2,1.6
153,Nick Gordon,MIN,138,443,9,45,50,6,0.043,0.237,0.156,0.34,0.272,0.316,0.427,0.321,111,-0.6,4.9,-4.2,1.6
154,Tyler Stephenson,CIN,50,183,6,24,35,1,0.066,0.257,0.163,0.409,0.319,0.372,0.482,0.37,134,0.6,7.7,0.8,1.5
155,Oscar Gonzalez,CLE,91,382,11,39,43,1,0.039,0.196,0.166,0.345,0.296,0.327,0.461,0.339,122,-1.3,8.3,-5.7,1.5
156,Joey Meneses,WSN,56,240,13,33,34,1,0.063,0.217,0.239,0.371,0.324,0.367,0.563,0.395,156,-2.8,12.8,-6.2,1.5
157,Oswaldo Cabrera,NYY,44,171,6,21,19,3,0.088,0.257,0.182,0.305,0.247,0.312,0.429,0.322,111,0.4,2.6,6.5,1.5
158,Whit Merrifield,---,139,550,11,70,58,16,0.069,0.155,0.125,0.276,0.25,0.298,0.375,0.294,88,2.6,-4.6,1.5,1.5
159,Michael A. Taylor,KCR,124,456,9,49,43,4,0.077,0.239,0.104,0.321,0.254,0.313,0.357,0.297,90,0.6,-4.8,4.7,1.5
160,Austin Hays,BAL,145,582,16,66,60,2,0.058,0.196,0.163,0.289,0.25,0.306,0.413,0.314,105,0.6,3.8,-7.8,1.5
161,Manuel Margot,TBR,89,363,4,36,47,7,0.066,0.187,0.101,0.332,0.274,0.325,0.375,0.308,106,2.3,4.6,-2,1.5
162,Vinnie Pasquantino,KCR,72,298,10,25,26,1,0.117,0.114,0.155,0.306,0.295,0.383,0.45,0.365,137,-2.1,10.4,-5.8,1.5
163,Jonathan Schoop,DET,131,510,11,48,38,5,0.037,0.21,0.121,0.234,0.202,0.239,0.322,0.245,57,-0.2,-24.6,22.5,1.5
164,Daniel Vogelbach,---,130,461,18,47,59,0,0.158,0.247,0.194,0.29,0.238,0.36,0.433,0.349,128,-3.3,11.7,-13.1,1.5
165,Alec Bohm,PHI,152,631,13,79,72,2,0.049,0.174,0.118,0.319,0.28,0.315,0.398,0.31,98,-0.5,-2.2,-4.9,1.5
166,Sam Haggerty,SEA,83,201,5,29,23,13,0.09,0.264,0.148,0.333,0.256,0.335,0.403,0.32,114,2.2,5.3,2.3,1.5
167,Harrison Bader,---,86,313,5,38,30,17,0.048,0.198,0.106,0.3,0.25,0.294,0.356,0.286,86,4.2,-0.7,4.3,1.5
168,Tony Kemp,OAK,147,558,7,61,46,11,0.081,0.124,0.099,0.259,0.235,0.307,0.334,0.287,91,4.1,-1.4,-2.6,1.4
169,Wilmer Flores,SFG,151,602,19,72,71,0,0.098,0.171,0.166,0.246,0.229,0.316,0.394,0.312,103,-1.4,0.5,-7.1,1.4
170,Aaron Hicks,NYY,130,453,8,54,40,10,0.137,0.241,0.096,0.279,0.216,0.33,0.313,0.292,90,2.5,-2.6,1.8,1.4
171,Ketel Marte,ARI,137,558,12,68,52,5,0.099,0.181,0.167,0.276,0.24,0.321,0.407,0.317,102,-0.9,0.6,-5.8,1.4
172,Isiah Kiner-Falefa,NYY,142,531,4,66,48,22,0.066,0.136,0.066,0.296,0.261,0.314,0.327,0.285,85,1.1,-7.8,4.3,1.4
173,Josh Harrison,CHW,119,425,7,50,27,2,0.049,0.167,0.114,0.297,0.256,0.317,0.37,0.305,98,-1.6,-2.8,2.6,1.4
174,Corbin Carroll,ARI,32,115,4,13,14,2,0.07,0.27,0.24,0.333,0.26,0.33,0.5,0.358,130,0.9,4.9,4.6,1.4
175,Garrett Cooper,MIA,119,469,9,37,50,0,0.085,0.254,0.155,0.34,0.261,0.337,0.415,0.33,115,-2.2,6.2,-8.7,1.4
176,Nick Fortes,MIA,72,240,9,41,24,5,0.075,0.188,0.161,0.252,0.23,0.304,0.392,0.308,100,0,0,5.1,1.4
177,Bryson Stott,PHI,127,466,10,58,49,12,0.077,0.191,0.124,0.274,0.234,0.295,0.358,0.289,83,4.7,-4.3,1.8,1.4
178,Kyle Farmer,CIN,145,583,14,58,78,4,0.057,0.17,0.131,0.286,0.255,0.315,0.386,0.309,92,-4.6,-10.3,3.9,1.4
179,Ildemaro Vargas,---,63,222,4,19,23,3,0.036,0.104,0.129,0.279,0.263,0.299,0.392,0.302,92,0.5,-1.5,7.1,1.4
180,Austin Barnes,LAD,62,212,8,31,26,2,0.127,0.175,0.168,0.222,0.212,0.324,0.38,0.315,104,-2.1,-1.1,7,1.4
181,Luis Guillorme,NYM,102,335,2,33,17,1,0.101,0.137,0.067,0.317,0.273,0.351,0.34,0.311,106,-6.1,-3.7,5.3,1.3
